Strike,Tenor,Alpha,Beta,Nu,Rho,Strike_0,Nu_0,FDM_vol,Hagan_vol
-0.75,16,0.09,0.05,3.5,-0.25,0.7633794943368531,0.875,0.10917156724049296,0.31448003404195896
1.75,14,0.03,0.35,1,0.1,1.2170586593535382,0.2672612419124244,0.040678283990123944,0.04265879078952129
-1,5,0.08,0.2,1,0.3,0.8362016906807813,0.4472135954999579,0.09235373447692767,0.09244745886443356
0,12,0.01,0.4,1.5,0.2,1.0,0.43301270189221935,0.011430305413371837,0.011773072304845414
-1.75,10,0.07,0.5,4.5,-0.2,0.6788337590917278,1.4230249470757705,0.11794701019582593,0.5612996211116167
-1.25,24,0.04,0.001,0.5,-0.35,0.7827444773247475,0.10206207261596577,0.051609826536092494,0.05183662669186408
-0.25,5,0.03,0.2,3.5,0.15,0.9833693323359777,1.5652475842498528,0.035473391095099054,0.06317910996985271
-1.5,1,0.06,0.45,1.5,0.3,0.9139311852712282,1.5,0.08410370707314387,0.0900383983387993
-2,24,0.05,0.05,1,-0.3,0.6126889167823921,0.20412414523193154,0.08947811029443091,0.09480486820492025
-2,10,0.08,0.4,1,-0.15,0.6029238197592262,0.31622776601683794,0.13044679016482028,0.13825793087124705
0,6,0.05,0.45,3.5,-0.3,1.0,1.4288690166235207,0.04949835334519719,0.09343712985200103
-0.5,0.5,0.001,0.001,2,0.35,0.9996465091020417,2.82842712474619,0.0011947322800794752,0.001255830943669543
-1,10,0.03,0.001,0.5,0.1,0.9094926796630575,0.15811388300841897,0.03250633665992566,0.032530905172900096
-1.5,1.5,0.03,0.45,4,-0.25,0.9463777098029927,3.2659863237109046,0.0590787191638276,0.17293150332994348
0.5,7,0.09,0.15,1,0.25,1.126436160922332,0.3779644730092272,0.09934232532468604,0.1014798974343595
-1.75,6,0.03,0.2,0.5,0.25,0.8793271981377974,0.20412414523193154,0.032469113662800135,0.03244874989405613
1.25,21,0.001,0.45,2,0.15,1.005744657239808,0.4364357804719848,0.001639761173858284,0.002115649504082379
0,6,0.05,0.15,4,-0.3,1.0,1.6329931618554523,0.04601495086355614,0.10741367719560357
-1.75,0.5,0.08,0.2,4.5,0.25,0.9057472826099114,6.363961030678928,0.15138055173743367,0.5360728611854408
0.25,4,0.02,0.5,3.5,0.15,1.010050167084168,1.75,0.025804931777051596,0.04595049747228142
-1.5,6,0.06,0.5,1,-0.2,0.8021544754757074,0.4082482904638631,0.08589443471532782,0.09001398669887259
1.25,12,0.05,0.1,2.5,-0.2,1.2417309714952693,0.7216878364870323,0.06885768657348726,0.10976832236814586
0,6,0.09,0.001,5,-0.1,1.0,2.041241452319315,0.06572755729468695,0.27486690557388543
-1,3,0.02,0.1,4,-0.1,0.9659521152320881,2.3094010767585034,0.03328593189132094,0.09212737941528665
-1,24,0.06,0.05,2.5,0.1,0.745322126765414,0.5103103630798288,0.08556585593569511,0.1435723184320838
-0.25,21,0.09,0.45,0.5,0.05,0.9020295913016526,0.1091089451179962,0.0945817881278485,0.0947632166886929
-1.25,24,0.001,0.45,1.5,-0.3,0.9938949874282869,0.3061862178478973,0.0015514474566121418,0.0017409113628227928
-2,1.5,0.05,0.25,0.1,0.05,0.8847284766100544,0.08164965809277261,0.052476728894707045,0.05244881630993435
-1.75,8,0.09,0.45,5,-0.05,0.6405185014285659,1.7677669529663687,0.14340493966504708,0.8922650848523087
-0.75,21,0.03,0.001,1.5,0.25,0.9020295913016526,0.3273268353539886,0.03695146099189013,0.038604762783281676
-1.75,24,0.02,0.2,3.5,0.4,0.8424303574145223,0.7144345083117604,0.036271923105578446,0.07573173470394592
-0.75,16,0.05,0.05,4,0.3,0.8607079764250578,1.0,0.058349631649328756,0.16187157398190016
1,27,0.05,0.3,1.5,0.35,1.2966806087260556,0.28867513459481287,0.06823782091758512,0.07686548859498805
-1.75,4,0.06,0.5,0.1,-0.05,0.8105842459701871,0.05,0.06383185108627414,0.06381022334266043
-1.5,10,0.08,0.45,1.5,-0.35,0.6842216807383472,0.4743416490252569,0.13312043781236937,0.1577375319216734
-1.25,24,0.06,0.45,5,-0.15,0.692516328998457,1.0206207261596576,0.0792119412373359,0.4823278788585057
-1.75,1,0.001,0.45,3.5,0.2,0.9982515303571615,3.5,0.002037932410374424,0.004442653396507671
-2,24,0.07,0.15,2.5,-0.35,0.5036583448516513,0.5103103630798288,0.13982504026612455,0.2695394055446111
0.5,8,0.08,0.45,1,0,1.1197854282014545,0.35355339059327373,0.08602204424247883,0.08752396547567097
1.5,24,0.05,0.35,3.5,0.2,1.4440092718770072,0.7144345083117604,0.0803628481689381,0.22201853839582664
-1,9,0.03,0.25,3,0.25,0.9139311852712282,1.0,0.04541862937577634,0.07625890314878622
0.5,21,0.06,0.25,1.5,-0.15,1.1473756268014466,0.3273268353539886,0.06413825078806291,0.06979810380908302
0.5,1.5,0.02,0.5,2.5,-0.05,1.0123227558399348,2.041241452319315,0.027031035086775013,0.035497957307072496
-0.25,4,0.03,0.35,2,0,0.9851119396030626,1.0,0.03711680361343501,0.0417523622140005
-0.75,6,0.04,0.45,3,-0.1,0.9291503688530943,1.2247448713915892,0.05821469819400381,0.1057772317235395
0,21,0.09,0.05,2.5,-0.05,1.0,0.545544725589981,0.08722779969814612,0.13721690271386072
-0.5,1.5,0.03,0.15,0.5,0.05,0.9817965482793497,0.4082482904638631,0.030973123543370538,0.030988026783307424
